Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,Gain_%,Shs Float,Insider Own,Inst Own,Short Float
QUCY,Quantum Cyber NV,Healthcare,Diagnostics & Research,Germany,6880000.0,,0.55,196781189,0.7038,10.68M,14.69%,9.29%,8.99%
FCHL,Fitness Champs Holdings Ltd,Consumer Defensive,Education & Training Services,Singapore,2710000.0,,2.19,36757420,0.6504000000000001,0.38M,69.54%,0.05%,10.36%
TDIC,Dreamland Ltd,Communication Services,Advertising Agencies,Hong Kong,26850000.0,,3.63,24815726,0.5379,2.95M,60.10%,0.83%,5.24%
