Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BON,Bon Natural Life Ltd,Basic Materials,Specialty Chemicals,China,13420000.0,0.81,1.92,0.2468,60780674.0
CWD,CaliberCos Inc,Financial,Asset Management,USA,21990000.0,,9.11,3.2372,132547550.0
DSY,Big Tree Cloud Holdings Ltd,Consumer Defensive,Household & Personal Products,China,156970000.0,,2.75,1.6961000000000002,67745370.0
GIBO,GIBO Holdings Ltd,Communication Services,Internet Content & Information,Hong Kong,2810000.0,38.34,2.81,0.048499999999999995,4812411.0
LGHL,Lion Group Holding Ltd ADR,Financial,Capital Markets,China,1410000.0,,1.99,0.3267,54219101.0
MGIH,Millennium Group International Holdings Ltd,Consumer Cyclical,Packaging & Containers,Hong Kong,22610000.0,,2.01,-0.1106,9584694.0
MMA,Mixed Martial Arts Group Ltd,Consumer Cyclical,Leisure,Australia,18910000.0,,1.45,0.7059000000000001,191829072.0
MSS,Maison Solutions Inc,Consumer Defensive,Grocery Stores,USA,19130000.0,20.75,1.39,0.1583,2845257.0
SOS,SOS Limited,Financial,Capital Markets,China,5850000.0,,2.04,0.7,8382685.0
STEC,Santech Holdings Ltd. ADR,Technology,Software - Application,China,84840000.0,,3.03,3.5908999999999995,69407495.0
STKE,Sol Strategies Inc,Financial,Capital Markets,Canada,167660000.0,,7.6,-0.16760000000000003,3410453.0
TRML,Tourmaline Bio Inc,Healthcare,Biotechnology,USA,1220000000.0,,47.64,0.5785,22622769.0
WOLF,Wolfspeed Inc,Technology,Semiconductors,USA,284780000.0,,1.82,0.4797,134378109.0
YOUL,Youlife Group Inc. ADR,Consumer Defensive,Education & Training Services,China,7010000.0,,2.19,0.2443,90964649.0
ZONE,CleanCore Solutions Inc,Industrials,Pollution & Treatment Controls,USA,57810000.0,,4.43,0.2621,19075628.0
