Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ADTX,0.01,1.2727,-35.48%,2.5227,5102527298.0,252.27,0.80M,0.82M,18.38%,0.09%,11.67%,0.01M
APWC,1.99,0.43170000000000003,3.11%,0.3885,47722840.0,38.85,3.14M,20.62M,84.78%,1.34%,0.28%,41.03M
BYAH,1.32,0.1,-20.96%,0.3917,11069288.0,39.17,1.02M,33.87M,96.99%,0.00%,1.32%,8.00M
CAST,8.07,0.5670000000000001,-30.07%,1.2408,111586512.0,124.08,16.52M,26.93M,59.56%,1.39%,0.68%,333.63M
CDT,1.02,0.4719,-23.31%,0.9192,246748858.0,91.92,1.63M,4.86M,66.50%,0.00%,3.28%,4.96M
GPUS,0.36,-0.0978,-32.20%,0.3307,645598205.0,33.07,432.71M,437.69M,1.12%,7.19%,6.32%,165.73M
LNKS,2.68,0.675,-10.37%,0.8687,68872271.0,86.87,1.50M,1.77M,15.59%,0.07%,24.19%,4.75M
LPA,3.57,0.1369,-18.31%,0.3917,10426819.0,39.17,5.08M,31.62M,83.94%,2.17%,2.37%,112.88M
WKSP,0.74,0.23329999999999998,-21.08%,0.5628,206082624.0,56.28,9.81M,11.93M,21.69%,7.53%,9.59%,9.25M
WOK,3.2,-0.2593,-43.26%,0.3056,10434713.0,30.56,-,1.22M,30.31%,0.32%,-,7.74M
