Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
CANG,0.48,0.2973,-4.25%,0.3549,16903728.0,35.49,336.32M,345.33M,5.62%,3.41%,1.55%,171.05M
CMND,1.14,0.5842,-14.29%,0.8482,221897368.0,84.82,-,2.09M,26.37%,0.32%,-,2.38M
CMPS,9.46,0.4204,8.61%,0.3078,39457888.0,30.78,93.51M,96.09M,2.68%,56.36%,9.51%,909.01M
ENVB,3.65,1.0055,-12.68%,1.2967,157797380.0,129.67,1.52M,1.89M,19.47%,16.75%,4.65%,6.89M
FCHL,0.22,-0.3722,-52.13%,0.3114,422153288.0,31.14,0.35M,1.00M,-,1.80%,292.17%,0.26M
PBM,11.3,0.4868,-14.26%,0.7342,41332910.0,73.42,0.25M,0.30M,-,58.55%,20.22%,3.39M
TOVX,0.41,0.5941,-6.50%,0.7049,632832129.0,70.49,44.91M,45.89M,2.14%,2.82%,15.28%,18.82M
WLDS,1.3,-0.1391,-48.62%,0.6755,143773208.0,67.55,2.18M,2.88M,-,6.37%,9.42%,4.59M
