Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
APM,Aptorum Group Ltd,Healthcare,Biotechnology,United Kingdom,13860000.0,,1.94,1.0004,195172038.0
BTCS,BTCS Inc,Financial,Capital Markets,USA,134320000.0,,5.76,0.2126,43148186.0
DTST,Data Storage Corp,Technology,Information Technology Services,USA,37840000.0,205.43,5.3,0.568,14853648.0
GAME,GameSquare Holdings Inc,Communication Services,Electronic Gaming & Multimedia,USA,101210000.0,,2.31,0.5297999999999999,95685304.0
NUWE,Nuwellis Inc,Healthcare,Medical Devices,USA,1800000.0,,15.95,1.3133000000000001,39963648.0
QLGN,Qualigen Therapeutics Inc,Healthcare,Biotechnology,USA,6420000.0,,3.93,0.1133,47975221.0
VCIG,VCI Global Ltd,Industrials,Consulting Services,Malaysia,3020000.0,,1.08,0.0385,62826838.0
