Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,82540000.0,,5.67,0.0347,33845182.0
GDRX,GoodRx Holdings Inc,Healthcare,Health Information Services,USA,1780000000.0,55.17,5.12,0.37270000000000003,54415569.0
PPCB,Propanc Biopharma Inc,Healthcare,Biotechnology,Australia,67930000.0,,5.85,1.0383,67796062.0
SGD,Safe and Green Development Corp,Real Estate,Real Estate - Development,USA,2740000.0,,1.31,0.1008,20131772.0
SNGX,Soligenix Inc,Healthcare,Biotechnology,USA,21260000.0,,4.96,0.7842,183553718.0
VTAK,Catheter Precision Inc,Healthcare,Medical Devices,USA,5220000.0,,4.25,0.6284000000000001,59670977.0
XNET,Xunlei Ltd ADR,Technology,Software - Infrastructure,China,549900000.0,0.77,8.79,0.37560000000000004,8498407.0
