Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AEHL,Antelope Enterprise Holdings Ltd,Industrials,Building Products & Equipment,China,13280000.0,,3.88,-0.0859,10936345.0
ATNF,180 Life Sciences Corp,Healthcare,Biotechnology,USA,19440000.0,,3.22,0.1065,7761681.0
DRRX,Durect Corp,Healthcare,Drug Manufacturers - Specialty & Generic,USA,58370000.0,,1.88,2.4015,50167384.0
INTZ,Intrusion Inc,Technology,Software - Infrastructure,USA,36010000.0,,1.81,-0.0269,1085972.0
SCNI,Scinai Immunotherapeutics Ltd ADR,Healthcare,Biotechnology,Israel,1700000.0,0.34,2.0,-0.024399999999999998,56599650.0
SGD,Safe and Green Development Corp,Real Estate,Real Estate - Development,USA,2630000.0,,1.26,0.4318,77013797.0
SOAR,Volato Group Inc,Industrials,Airports & Air Services,USA,3700000.0,,1.78,0.0409,47709680.0
SRPT,Sarepta Therapeutics Inc,Healthcare,Biotechnology,USA,1560000000.0,,15.83,0.1421,67243410.0
STAI,ScanTech AI Systems Inc,Industrials,Building Products & Equipment,USA,57440000.0,6.46,1.19,0.7787999999999999,315859580.0
XPRO,Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,1370000000.0,19.56,11.89,0.3211,6364460.0
