Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AHMA,1.93,0.4296,4.32%,0.3704,49682660.0,37.04,2.15M,10.96M,92.78%,0.33%,6.24%,57.37M
BYAH,1.48,0.0068000000000000005,-24.49%,0.3333,12491206.0,33.33,1.02M,33.87M,96.99%,0.00%,1.32%,4.77M
CAST,3.75,1.4194,-22.52%,2.1226,158150160.0,212.26,16.52M,26.93M,59.56%,1.39%,0.68%,155.03M
CTM,0.72,0.0204,-24.07%,0.3439,160844928.0,34.39,83.30M,94.61M,12.04%,12.54%,4.77%,67.78M
CUPR,8.41,1.1184,-23.20%,1.7582,48556176.0,175.82,0.92M,0.92M,93.86%,0.07%,9.26%,7.74M
GDC,0.11,0.0616,-35.20%,0.6384000000000001,190148688.0,63.84,48.65M,60.76M,19.93%,0.30%,14.01%,6.39M
GELS,1.16,0.17170000000000002,-22.67%,0.5152,60615548.0,51.52,5.62M,9.44M,-,0.62%,1.37%,12.42M
GPUS,0.27,0.7548999999999999,34.57%,0.304,710020288.0,30.4,456.79M,461.46M,1.01%,6.82%,5.99%,125.25M
JRSH,3.75,0.08380000000000001,-28.84%,0.5231,36689040.0,52.31,6.33M,12.94M,50.19%,9.08%,0.74%,47.62M
PAVS,0.19,-0.087,-59.90%,1.2769,671362432.0,127.69,0.99M,1.05M,5.42%,0.01%,1.93%,0.20M
VSME,3.25,0.9231,17.75%,0.6331,64721968.0,63.31,2.57M,2.74M,6.97%,0.18%,2.69%,8.99M
