Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AIRS,2.81,0.5162,-1.92%,0.5459,76894315.0,54.59,5.50M,62.44M,91.19%,27.69%,64.72%,175.13M
CLIK,3.21,0.03,-23.21%,0.34119999999999995,4054213.0,34.12,0.52M,3.26M,84.17%,0.02%,0.33%,10.47M
CTMX,6.75,0.44229999999999997,-2.74%,0.4829,118355246.0,48.29,132.47M,165.07M,21.82%,72.14%,14.24%,1.14B
HCWB,0.94,0.8119,25.42%,0.4447,458498852.0,44.47,4.73M,5.76M,17.84%,7.93%,1.22%,5.38M
ULY,5.37,1.6453,1.32%,1.6108000000000002,2013332.0,161.08,1.94M,2.19M,11.30%,5.93%,8.45%,11.77M
