Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ALOT,28.35,0.6986,-0.61%,0.7091,2394582.0,70.91,6.10M,7.72M,21.23%,44.52%,0.26%,219.65M
AZTR,0.2,0.1027,-36.54%,0.7376,381958304.0,73.76,16.19M,16.19M,0.02%,3.34%,0.38%,3.29M
CIIT,0.62,0.4054,7.01%,0.31329999999999997,82332848.0,31.33,1.27M,3.62M,64.87%,1.22%,2.58%,2.25M
CLPT,16.81,0.2601,-7.38%,0.36060000000000003,6884253.0,36.06,26.58M,29.99M,11.37%,43.76%,17.84%,504.12M
CLWT,1.57,0.30829999999999996,-36.18%,1.05,78755072.0,105.0,3.08M,7.90M,58.48%,2.38%,1.38%,11.64M
CRE,4.2,0.2844,-3.67%,0.3333,7750171.0,33.33,1.10M,1.64M,82.04%,0.01%,0.95%,8.46M
EHGO,2.89,1.1894,-39.92%,2.6439,113068760.0,264.39,1.26M,1.49M,38.04%,1.09%,1.16%,5.86M
FTHM,1.11,0.7536,5.21%,0.6667000000000001,74581640.0,66.67,19.29M,32.72M,41.16%,10.11%,0.96%,36.39M
ICCM,6.4,2.0047,51.30%,0.9859,152922480.0,98.59,1.24M,2.71M,55.73%,3.84%,1.93%,17.96M
LNAI,4.0,0.406,-15.61%,0.6661,26485286.0,66.61,2.95M,4.47M,34.99%,2.72%,11.70%,18.14M
NIVF,0.8,0.1429,-23.81%,0.5,55454668.0,50.0,-,0.57M,0.00%,3.49%,-,0.45M
VIVK,0.51,-0.0359,-27.62%,0.3319,82465464.0,33.19,4.19M,4.30M,2.38%,0.35%,2.37%,2.19M
YMAT,0.75,0.943,17.35%,0.6557,171878064.0,65.57,7.89M,11.10M,60.65%,0.18%,9.02%,15.04M
