Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
XXHLD,2.81,2.5257,246.91,0.0163,68978111,,,,,,,,,
GGAUZ,0.43,0.6953,58.05,0.0726,234247622,,,,,,,,,
WWLDS,4.24,0.4671,51.97,-0.0346,8288194,,,,,,,,,
AAZI,1.6,0.5842,31.15,0.2079,69981729,,,,,,,,,
FFIP,4.05,0.1891,30.39,-0.088,2921396,,,,,,,,,
PPETZ,1.53,0.275,28.57,-0.0083,344154,,,,,,,,,
MMYO,1.31,0.2357999999999999,28.43,-0.0377,2116061,,,,,,,,,
FFEAM,1.74,0.2794,27.94,0.0,630327,,,,,,,,,
FFNGR,0.35,0.2032,24.56,-0.034,2643394,,,,,,,,,
AACDC,4.47,-0.0089,24.37,-0.2030999999999999,4020285,,,,,,,,,
IISPC,2.2,0.1458,24.29,-0.0781,342302,,,,,,,,,
AALEC,1.83,0.2282,22.82,0.0,5704449,,,,,,,,,
WWETO,5.77,0.1657,22.77,-0.0504999999999999,675238,,,,,,,,,
SSGHT,7.09,0.2775,22.45,0.0432,778384,,,,,,,,,
SSMJF,8.2,0.2148,22.39,-0.0074,821787,,,,,,,,,
LLXRX,2.36,-0.0366999999999999,20.41,-0.2,4890832,,,,,,,,,
KKAPA,0.39,0.1818,20.0,-0.0152,2275055,,,,,,,,,
