Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ABTS,2.58,0.20559999999999998,-19.38%,0.4953,15240868.0,49.53,2.18M,19.55M,26.47%,5.97%,3.83%,7.64M
ABVE,0.11,0.0,-79.51%,3.8816,76023984.0,388.16,42.81M,51.19M,16.38%,4.85%,8.41%,5.84M
BJDX,4.34,1.0,-29.08%,1.8203,74417368.0,182.03,0.91M,1.03M,11.94%,10.62%,0.74%,4.49M
CTNT,1.65,-0.0934,-35.55%,0.40659999999999996,15700238.0,40.66,2.96M,2.96M,0.14%,0.02%,1.53%,4.88M
DXST,4.95,2.0937,66.67%,0.8562000000000001,76446336.0,85.62,1.22M,1.82M,32.90%,0.90%,1.42%,8.98M
GXAI,1.36,0.1429,-32.34%,0.6890999999999999,106220432.0,68.91,9.59M,10.22M,6.13%,6.82%,1.74%,13.90M
LOBO,0.88,0.0492,-26.56%,0.4286,82693880.0,42.86,9.49M,13.84M,31.46%,0.19%,11.14%,12.20M
PMI,0.27,0.6033,-30.47%,1.3058,826295616.0,130.58,30.65M,75.26M,66.81%,0.43%,1.55%,24.93M
SOAR,0.32,0.2929,-8.57%,0.41409999999999997,146835760.0,41.41,27.46M,30.90M,11.14%,1.31%,8.45%,9.89M
SOPA,0.08,0.0,-34.31%,0.5224,44712196.0,52.24,5.70M,12.87M,3.59%,4.83%,19.64%,0.98M
VSA,4.63,0.0818,-39.71%,0.7944,13245803.0,79.44,0.61M,0.62M,0.94%,0.08%,11.13%,2.87M
YHC,0.86,-0.0339,-25.86%,0.3031,5400852.0,30.31,18.11M,21.37M,15.25%,3.34%,1.24%,18.38M
