Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
GLTO,17.25,2.4848,-20.14%,3.3636,40068002.0,336.36,1.29M,1.33M,2.75%,2.47%,6.91%,22.90M
GREE,2.1,0.3907,8.81%,0.2781,31274325.0,27.81,10.74M,12.77M,31.46%,5.08%,2.74%,32.92M
IFRX,1.58,0.2846,-10.73%,0.439,83089346.0,43.9,62.81M,67.75M,6.44%,24.64%,2.46%,106.07M
IMTE,1.05,0.4339,3.96%,0.37929999999999997,75900368.0,37.93,2.93M,3.43M,14.72%,2.20%,0.38%,3.60M
IRWD,2.53,0.3177,3.69%,0.2708,20129143.0,27.08,156.35M,162.68M,3.74%,87.69%,3.01%,410.95M
MOVE,11.91,1.4969,-11.97%,1.8365,45944730.0,183.65,0.61M,0.83M,27.05%,15.03%,4.84%,9.94M
MSGY,1.46,0.5367999999999999,16.80%,0.31579999999999997,20953696.0,31.58,2.73M,14.22M,80.84%,0.03%,4.73%,20.76M
SELX,1.05,0.8551000000000001,16.65%,0.5903,63505050.0,59.03,10.70M,37.43M,71.42%,8.79%,0.14%,39.29M
SOC,6.0,0.12359999999999999,-14.89%,0.32020000000000004,19446011.0,32.02,74.84M,99.48M,24.79%,60.84%,26.25%,597.04M
THS,23.37,0.2268,0.52%,0.2205,8842264.0,22.05,49.95M,50.50M,1.08%,106.95%,4.42%,1.18B
VCIG,1.77,0.7184,32.09%,0.301,25188810.0,30.1,6.39M,6.54M,2.38%,0.03%,0.54%,11.58M
