Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
CMND,3.58,0.4612,2.58%,0.42450000000000004,44924268.0,42.45,1.01M,1.02M,0.66%,0.44%,2.03%,3.65M
DEVS,0.3,1.4,6.69%,1.2496,579671232.0,124.96,5.90M,13.25M,55.50%,1.95%,2.69%,3.97M
HUBC,0.26,1.3736000000000002,-32.71%,2.5273,1368717696.0,252.73,-,0.20M,0.00%,1.30%,-,0.33M
IOTR,3.91,0.39640000000000003,-14.07%,0.625,21866682.0,62.5,0.64M,0.73M,74.89%,0.46%,1.54%,10.03M
NEXR,1.36,0.1724,-13.92%,0.36210000000000003,65746296.0,36.21,-,0.25M,0.44%,0.05%,-,2.40M
OLOX,8.77,0.7825,-13.94%,1.0711,27421712.0,107.11,0.74M,0.96M,22.60%,4.74%,14.69%,8.43M
PRFX,3.0,1.1898,-36.71%,2.4599,57104056.0,245.99,0.79M,0.84M,6.24%,9.75%,9.33%,2.53M
QH,7.73,0.546,-0.90%,0.56,3205696.0,56.0,-,0.14M,-,11.35%,-,1.08M
REPL,8.69,0.8568000000000001,9.58%,0.6944,51372556.0,69.44,76.23M,79.63M,7.68%,102.43%,31.03%,717.56M
SOPA,0.08,0.0,-34.31%,0.5224,44712196.0,52.24,5.70M,12.87M,3.59%,4.83%,19.64%,0.98M
STG,6.14,1.2573999999999999,18.99%,0.8970999999999999,24973538.0,89.71,4.79M,5.08M,5.62%,0.29%,0.02%,31.19M
