Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
AIXC,1.55,17.42%,38.39%,-0.1515,5936814,18558726.0,20234993,0.66524005,0.029560002,0.0253,Technology,Software - Infrastructure,United States,31364236
AZI,1.66,44.35%,34.96%,0.0696,61750142,1729957.0,1816998,0.0,7e-05,0.0117999995,Consumer Cyclical,Auto & Truck Dealerships,China,5089563
BTCT,0.84,79.97%,74.31%,0.0325,147556380,9168463.0,16976004,0.0276,0.14418,0.1301,Technology,Computer Hardware,Singapore,14203823
CYPH,1.07,32.85%,32.10%,0.0056999999999999,10521478,91437000.0,106464482,0.083380006,0.21306999,0.0856,Financial Services,Asset Management,United States,113917000
HUMA,0.73,26.34%,22.48%,0.0315,21660153,246354137.0,277798105,0.072859995,0.26609,0.1175,Healthcare,Biotechnology,United States,204153824
LGHL,0.7,25.54%,25.11%,0.0034,27070510,455328.0,917553,0.0,0.00189,0.028900001,Financial Services,Capital Markets,Singapore,646937
NWGL,0.49,30.89%,31.59%,-0.0054,3474561,,4936559,0.0,0.031229999,0.111,Basic Materials,Lumber & Wood Production,Macau,8059736
PSIG,2.04,28.30%,28.30%,0.0,1510083,7788387.0,15380822,0.59683996,0.01853,0.0105,Industrials,Integrated Freight & Logistics,Hong Kong,31376876
PURR,9.39,30.42%,29.34%,0.0083,62000006,,200563691,0.05953,0.91818,,Financial Services,Capital Markets,United States,1883293184
QTEX,1.12,24.79%,23.01%,0.0144999999999999,27826361,34317796.0,55708771,0.090050004,0.056739997,0.056999996,Technology,Computer Hardware,Israel,62393824
SKYA,1.27,28.78%,23.31%,0.0443,1559837,33359153.0,43247506,0.14423001,0.27194,0.0216,Technology,Software - Infrastructure,United States,54924328
ZSTK,4.96,169.55%,116.59%,0.2445,24323284,6918451.0,17489828,0.63585,0.00402,0.0023999999,Financial Services,Asset Management,Canada,86749544
