Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
APVO,Aptevo Therapeutics Inc,Healthcare,Biotechnology,USA,6510000.0,,1.98,0.4043,114102372.0
AQB,AquaBounty Technologies Inc,Consumer Defensive,Farm Products,USA,5780000.0,,1.49,0.307,23158822.0
BRFH,Barfresh Food Group Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,61210000.0,,3.84,0.3196,2352508.0
LASE,Laser Photonics Corp,Industrials,Specialty Industrial Machinery,USA,67240000.0,,4.71,0.6820999999999999,126134529.0
NBTX,Nanobiotix ADR,Healthcare,Biotechnology,France,589900000.0,,12.31,0.2066,343100.0
PBM,Psyence Biomedical Ltd,Healthcare,Biotechnology,Canada,3780000.0,,5.3,0.42469999999999997,25770570.0
