Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
AEYE,7.99,37.52%,29.08%,0.0654,965070,8308806,12569674,0.32994,0.35502,0.0301,Technology,Software - Application,United States,100431696
BANL,10.93,55.92%,53.51%,0.0157,516045,406582,1097935,0.63102,0.01459,0.0367,Energy,Oil & Gas Midstream,Malaysia,23077558
BRNX,3.55,2.60%,48.54%,-0.3092,628179,23787,436783,0.00602,0.01768,0.0417,Utilities,Utilities - Renewable,Israel,1550579
CAMP,5.44,20.89%,20.89%,0.0,426629,28570904,62753200,0.09651,0.79580003,0.0422,Healthcare,Biotechnology,United States,341377408
CDTG,2.09,30.62%,34.84%,-0.0313,1250533,2766994,3021027,0.06057,0.00966,0.0053,Industrials,Waste Management,China,6313946
EMAT,3.03,34.07%,24.18%,0.0796,3556155,135242232,621790646,0.87381,0.019609999,0.0045,Basic Materials,Other Industrial Metals & Mining,United States,1884025728
IPWR,5.23,22.77%,22.20%,0.0046999999999999,715583,13654062,16434655,0.09769,0.39674,0.041100003,Technology,Semiconductors,United States,85953248
MDXH,0.81,74.89%,33.00%,0.3148999999999999,326589347,41774145,51364520,0.059899997,0.17444,0.0274,Healthcare,Diagnostics & Research,Belgium,41502532
NPWR,1.95,20.37%,25.00%,-0.037,4036059,46204612,88480681,0.48,0.44634,0.0495,Industrials,Specialty Industrial Machinery,United States,172537328
NTHI,4.22,31.46%,31.06%,0.0031,646954,9037008,25936365,0.58673,0.12199,0.056999996,Healthcare,Biotechnology,United States,109451448
SPAI,6.17,37.72%,43.49%,-0.0401999999999999,7365272,12590358,20618817,0.43451,0.10827,0.0276,Industrials,Aerospace & Defense,United States,127218096
SST,2.35,38.24%,35.84%,0.0176,3435624,5703647,8708922,0.68494004,0.07035,0.0556,Industrials,Specialty Business Services,United States,24648324
VUZI,3.1,17.42%,29.17%,-0.0909,2846227,64955906,84414230,0.15633,0.39191002,0.2229,Technology,Consumer Electronics,United States,261684112
VWAV,1.78,44.72%,37.98%,0.0487999999999999,25301928,18571376,29582069,0.63525003,0.068720005,0.052600004,Industrials,Aerospace & Defense,United States,52656080
