Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
ABTS,1.32,4.76%,32.00%,-0.2062999999999999,312002,2497684.0,2961447,0.1566,0.058509998,0.0223,Financial Services,Capital Markets,Hong Kong,3909110
AIAI,5.4,29.19%,29.19%,0.0,315426,54166382.0,70313990,0.2483,0.19347,0.0188,Industrials,Conglomerates,United States,379695552
AIFA,3.18,50.71%,39.47%,0.0806,7343051,3917137.0,6377521,0.60462004,0.04721,0.0397,Technology,Software - Infrastructure,United States,20280518
ALEC,2.09,23.67%,24.40%,-0.0059,5543326,93449025.0,111656919,0.096140005,0.82716006,0.0535,Healthcare,Biotechnology,United States,233362960
CIGL,0.6,32.48%,35.65%,-0.0233,104185844,34892206.0,206674356,0.83054,0.00068999996,0.005,Industrials,Security & Protection Services,Singapore,135351440
JWEL,3.91,-2.25%,20.68%,-0.19,1253756,2034824.0,2376131,0.14364,0.0,0.0004,Consumer Cyclical,Internet Retail,China,9290672
KPLT,8.0,25.79%,23.46%,0.0189,746080,4647259.0,4972405,0.26686,0.37504002,0.074,Technology,Software - Infrastructure,United States,39779240
MSGY,3.43,48.20%,24.73%,0.1882,40697569,803105.0,2119625,,,0.0073,Industrials,Engineering & Construction,Hong Kong,7270314
OMH,0.11,29.97%,45.30%,-0.1056,357073411,22604226.0,22259591,0.00107,0.00041,0.0269,Real Estate,Real Estate Services,Singapore,2645079
PLAG,5.81,927.05%,442.99%,0.8915000000000001,213654452,11638375.0,14232714,0.18226999,0.00582,0.0082,Industrials,Conglomerates,United States,82692072
QMCO,19.4,64.69%,33.61%,0.2326,16536774,14483862.0,39410001,0.37273997,0.18242,0.0614,Technology,Computer Hardware,United States,764553984
STKH,3.99,-7.21%,25.87%,-0.2628,2688114,,591689,0.18903999,0.0321,0.59580004,Consumer Defensive,Packaged Foods,Israel,2360839
