Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ABVE,0.11,0.0,-79.51%,3.8816,76023984.0,388.16,23.89M,51.19M,5.35%,15.88%,6.44%,5.84M
BQ,0.89,0.0762,-20.54%,0.3543,53014772.0,35.43,2.80M,2.88M,19.21%,0.88%,3.26%,2.56M
CHOW,0.73,1.0924,-20.17%,1.6211000000000002,254081584.0,162.11,10.76M,35.49M,69.68%,0.29%,0.68%,25.95M
CIIT,1.61,0.3417,-49.84%,1.675,80884080.0,167.5,1.27M,3.62M,64.87%,1.22%,2.58%,5.83M
CPOP,1.52,3.2222000000000004,198.04%,0.4167,287960768.0,41.67,20.36M,81.94M,75.15%,0.95%,1.05%,124.55M
DSY,7.2,2.9130000000000003,-24.84%,4.2065,113586560.0,420.65,1.25M,74.75M,98.33%,0.18%,3.04%,59.41M
FLD,0.71,0.1559,-47.79%,1.2137,119471640.0,121.37,7.37M,50.35M,85.48%,18.52%,6.46%,35.93M
GLE,0.67,0.5155,-5.48%,0.6033,74295968.0,60.33,3.18M,13.66M,82.62%,0.36%,4.29%,12.20M
HKIT,0.44,0.5971,7.39%,0.48719999999999997,244400816.0,48.72,0.34M,0.42M,98.41%,0.74%,8.03%,3.94M
HWH,1.42,0.1592,-28.28%,0.6163000000000001,26155510.0,61.63,1.51M,7.48M,79.81%,0.82%,1.08%,10.62M
MSW,1.35,0.0227,-34.15%,0.5529999999999999,29357744.0,55.3,4.56M,12.97M,64.85%,0.94%,0.47%,17.52M
PBLS,31.6,0.58,-5.25%,0.6675,5496700.0,66.75,-,118.75M,-,-,-,103.33M
QH,3.25,-0.049699999999999994,-31.29%,0.38299999999999995,17410758.0,38.3,-,0.14M,-,11.35%,-,0.46M
VSME,2.05,1.4897,-44.59%,3.4936000000000003,226397536.0,349.36,2.57M,2.74M,7.01%,0.18%,2.69%,5.67M
WCT,1.71,0.3053,-6.81%,0.4008,80426200.0,40.08,0.85M,2.91M,70.77%,0.02%,0.98%,5.24M
