Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ADXN,Addex Therapeutics Ltd ADR,Healthcare,Biotechnology,Switzerland,8770000.0,2.47,10.7,0.2187,772695.0
AGAE,Allied Gaming & Entertainment Inc,Communication Services,Entertainment,USA,56270000.0,,1.48,0.6244,111916679.0
ANGX,Angel Studios Inc,Communication Services,Entertainment,USA,76780000.0,,13.26,0.02,1062882.0
BGSF,BGSF Inc,Industrials,Staffing & Employment Services,USA,86600000.0,,7.76,0.2125,4861863.0
BHAT,Blue Hat Interactive Entertainment Technology,Communication Services,Electronic Gaming & Multimedia,China,12810000.0,,1.77,0.0793,17387726.0
BRCB,Black Rock Coffee Bar Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,1320000000.0,,27.53,0.3765,7793212.0
COCP,Cocrystal Pharma Inc,Healthcare,Biotechnology,USA,16210000.0,,1.58,0.09720000000000001,82757463.0
EPSM,Epsium Enterprise Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,USA,530880000.0,,39.5,-0.1545,121617.0
FORD,"Forward Industries, Inc",Consumer Cyclical,Footwear & Accessories,USA,62090000.0,,36.1,0.047,1489178.0
GCTK,GlucoTrack Inc,Healthcare,Medical Instruments & Supplies,USA,9530000.0,,10.59,1.1745,70081777.0
HCWB,HCW Biologics Inc,Healthcare,Biotechnology,USA,12020000.0,,5.59,0.6837000000000001,20001079.0
HUIZ,Huize Holding Ltd ADR,Financial,Insurance Brokers,China,36120000.0,16.89,4.21,0.4876,11394270.0
IBEX,IBEX Ltd,Technology,Information Technology Services,USA,555920000.0,17.45,41.58,0.3651,1468525.0
MGIH,Millennium Group International Holdings Ltd,Consumer Cyclical,Packaging & Containers,Hong Kong,31500000.0,,2.8,0.2785,16680881.0
PLRZ,Polyrizon Ltd,Healthcare,Biotechnology,Israel,7190000.0,,1.2,0.22760000000000002,39650170.0
QMMM,QMMM Holdings Ltd,Communication Services,Advertising Agencies,Hong Kong,1280000000.0,,74.22,-0.0173,1639812.0
UOKA,MDJM Ltd,Consumer Cyclical,Lodging,United Kingdom,3030000.0,,2.83,0.0070999999999999995,17964515.0
VSTD,Vestand Inc,Consumer Cyclical,Restaurants,USA,30290000.0,,2.13,0.6512,74054764.0
