Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CYN,Cyngn Inc,Technology,Software - Application,USA,27850000.0,,14.32,0.11869999999999999,24505059.0
DAIC,CID Holdco Inc,Technology,Information Technology Services,USA,226350000.0,,8.19,0.7766,44486028.0
ELWS,Earlyworks Co Ltd ADR,Technology,Software - Application,Japan,9570000.0,,3.17,0.6684,59034119.0
GRYP,Gryphon Digital Mining Inc,Financial,Capital Markets,USA,84890000.0,,1.17,0.2983,87820941.0
MDBH,MDB Capital Holdings LLC,Financial,Capital Markets,USA,42790000.0,3.96,4.3,-0.0069,1393.0
MOGO,Mogo Inc,Technology,Software - Infrastructure,Canada,62890000.0,,2.57,1.124,265247153.0
NAMM,Namib Minerals,Basic Materials,Gold,Cayman Islands,588300000.0,,10.96,0.593,7975613.0
