Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AIB,1.48,0.2759,-10.30%,0.4224,80872712.0,42.24,-,3.95M,-,3.81%,-,55.69M
AIXI,0.8,5.15,197.59%,1.0666,1191267136.0,106.66,-,13.45M,-,4.69%,-,10.81M
FCUV,5.74,0.7186,-23.26%,1.2395,52145860.0,123.95,0.57M,0.92M,44.58%,2.08%,3.84%,5.88M
PFSA,1.85,1.4406,-4.15%,1.5462,239161836.0,154.62,1.29M,1.36M,5.20%,4.63%,4.76%,2.51M
WBUY,1.11,0.1747,-21.28%,0.49219999999999997,46835469.0,49.22,2.95M,3.74M,21.28%,0.81%,2.64%,4.15M
