Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ABVE,0.11,0.0,-79.51%,3.8816,76023984.0,388.16,42.81M,51.19M,16.38%,4.85%,8.41%,5.84M
HUBC,0.65,0.3533,-10.25%,0.5079,287566368.0,50.79,-,0.20M,0.00%,3.73%,-,0.83M
LASE,3.13,0.2934,-10.95%,0.4525,228888912.0,45.25,24.60M,38.57M,36.22%,3.29%,7.23%,120.72M
SDOT,6.75,1.0579,11.02%,0.8537,52559504.0,85.37,0.69M,0.74M,6.81%,0.63%,1.12%,5.02M
SELX,0.46,0.6021,-7.68%,0.7354,181709024.0,73.54,16.64M,43.35M,61.61%,7.57%,2.31%,19.73M
SOPA,0.08,0.0,-34.31%,0.5224,44712196.0,52.24,5.70M,12.87M,3.59%,4.83%,19.64%,0.98M
WCT,2.57,1.7934999999999999,61.13%,0.7337,85218080.0,73.37,0.85M,2.91M,70.77%,0.02%,0.71%,7.88M
XOS,7.46,2.3453,15.12%,1.9058000000000002,107636000.0,190.58,5.49M,11.98M,54.70%,4.29%,13.33%,90.44M
