Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding
ACXP,-1.29,0.64,0.8239,0.7283,-0.1285,-0.8107,1.1316,82.35,8.1,0.8881,12.97%,0.6713,24846079.0,67.13,1.46M,1.47M
ATON,0.59,1.23,0.7946,0.5751,0.7325,-0.3103,2.6982999999999997,77.08,10.91,0.9551999999999999,-17.66%,1.3746,29412869.0,137.46,0.84M,1.12M
BIAF,2.37,0.98,-0.3593,-0.5422,-0.7624,-0.9545999999999999,0.3034,37.33,3.05,0.24489999999999998,-2.87%,0.2816,34865217.0,28.16,1.34M,1.85M
CRML,1.15,1.44,0.5811999999999999,0.8979,1.8592,-0.2932,8.5854,73.09,11.79,0.1766,-3.12%,0.2146,25174113.0,21.46,30.46M,98.60M
NBTX,0.69,2.06,0.7354,1.4287,3.7889999999999997,0.19469999999999998,8.8913,82.06,27.3,0.3019,6.60%,0.2213,242656.0,22.13,37.83M,48.21M
NERV,-0.34,0.19,0.3086,0.3232,0.4816,0.0,1.4609,79.15,2.83,0.2982,7.60%,0.2064,8900971.0,20.64,5.44M,6.99M
NXL,3.66,0.15,0.9415,1.0432,0.0929,-0.5857,2.1471999999999998,85.0,1.86,0.9825,1.09%,0.9612,194936137.0,96.12,12.00M,17.42M
RNAZ,1.5,1.34,0.3267,0.36369999999999997,-0.6986,-0.98,1.4074,76.1,14.8,0.21109999999999998,-20.90%,0.5311,7484288.0,53.11,0.83M,0.83M
UPC,1.47,0.87,1.0490000000000002,1.3518000000000001,0.3423,-0.9842,2.7689,89.22,9.46,0.8298000000000001,27.67%,0.43329999999999996,22823047.0,43.33,0.55M,0.56M
XBIO,2.42,0.98,1.8466,2.1997999999999998,2.0229,0.9665,3.7091000000000003,93.75,10.36,1.4149,-13.67%,1.7972,47214307.0,179.72,1.25M,1.54M
XTLB,1.17,0.18,0.6239,0.5543,0.45909999999999995,-0.18030000000000002,1.3837000000000002,79.4,2.05,0.4643,10.22%,0.3286,34219142.0,32.86,8.60M,8.81M
