Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AEBI,Aebi Schmidt Holding AG,Industrials,Farm & Heavy Construction Machinery,Switzerland,1060000000.0,,13.61,0.21739999999999998,5213807.0
CMND,Clearmind Medicine Inc,Healthcare,Biotechnology,Canada,5920000.0,,1.1,0.2182,41809597.0
CV,CapsoVision Inc,Healthcare,Medical Devices,USA,203910000.0,,4.4,0.2571,6731555.0
EMPG,Empro Group Inc,Consumer Defensive,Household & Personal Products,Malaysia,5870000.0,,3.91,-0.1011,8969258.0
GITS,Global Interactive Technologies Inc,Communication Services,Internet Content & Information,South Korea,11290000.0,,3.84,1.3558000000000001,46204158.0
LIXT,Lixte Biotechnology Holdings Inc,Healthcare,Biotechnology,USA,7600000.0,,2.83,0.401,64128387.0
MDBH,MDB Capital Holdings LLC,Financial,Capital Markets,USA,50900000.0,4.71,5.11,0.1895,8518.0
MINM,FiEE Inc,Technology,Communication Equipment,Hong Kong,16120000.000000002,,3.28,0.2285,28967971.0
THTX,Theratechnologies Inc,Healthcare,Biotechnology,Canada,147140000.0,,3.2,0.35590000000000005,10560856.0
XPOF,Xponential Fitness Inc,Consumer Cyclical,Leisure,USA,490000000.0,,10.1,0.3539,2684073.0
