Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Shs Float,Shares Outstanding
ANGX,Angel Studios Inc,Communication Services,Entertainment,USA,931160000.0,,9.32,0.201,6813700.0,99.91M,99.91M
BTTC,Black Titan Corp,Technology,Software - Application,USA,6130000.0,,23.98,4.2017,3692112.0,-,-
CIGL,Concorde International Group Ltd,Industrials,Security & Protection Services,Singapore,100480000.0,,4.5,0.7509999999999999,49959406.0,1.44M,1.44M
DFLI,Dragonfly Energy Holdings Corp,Industrials,Electrical Equipment & Parts,USA,66060000.0,,1.07,0.7859999999999999,360683974.0,57.96M,61.74M
DKI,Darkiris Inc,Communication Services,Electronic Gaming & Multimedia,Hong Kong,17730000.0,,1.0,0.0417,22934855.0,3.81M,12.05M
IVDA,Iveda Solutions Inc,Industrials,Security & Protection Services,USA,5900000.0,,2.03,0.4926,86155762.0,2.76M,2.91M
TSHA,Taysha Gene Therapies Inc,Healthcare,Biotechnology,USA,1330000000.0,,4.88,0.5346,123030717.0,222.28M,272.73M
