Ticker,Price,Change %,Change from Open %,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
GIPR,0.72,63.44%,-51.79%,2.3902,299404595.0,239.02,1592810,3038140,0.07581,0.027490001,0.0557,2182296
IMCC,4.23,143.10%,30.56%,0.8621,104981193.0,86.21,480216,603921,0.117819995,0.01942,0.0219,2554585
SM,1.51,3.42%,-37.34%,0.6507,37045231.0,65.07,222483938,237854068,0.00925,0.99587995,0.0629,8793464832
TNMG,3.87,43.87%,-10.83%,0.6134000000000001,36542509.0,61.34,237283,6084581,,,0.0067000003,23547328
TRUG,0.5,29.76%,-3.68%,0.3471,253022609.0,34.71,1881924,1903708,0.00484,0.0082,0.1742,958006
