Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ARHS,Arhaus Inc,Consumer Cyclical,Specialty Retail,USA,1690000000.0,28.93,11.99,0.2148,4576580.0
ARIS,Aris Water Solutions Inc,Utilities,Utilities - Regulated Water,USA,1410000000.0,28.85,23.78,0.1932,6811582.0
ASLE,AerSale Corp,Industrials,Airports & Air Services,USA,403850000.0,53.45,7.59,0.2321,1599036.0
AVAH,Aveanna Healthcare Holdings Inc,Healthcare,Medical Care Facilities,USA,1130000000.0,333.91,5.81,0.4936,14369363.0
AVDL,Avadel Pharmaceuticals plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,1230000000.0,,12.74,0.1477,3982545.0
CMCT,Creative Media & Community Trust,Real Estate,REIT - Office,USA,6990000.0,,9.26,0.38079999999999997,18135515.0
GRPN,Groupon Inc,Communication Services,Internet Content & Information,USA,1470000000.0,,36.89,0.2028,4221238.0
HBI,Hanesbrands Inc,Consumer Cyclical,Apparel Manufacturing,USA,1640000000.0,,4.65,0.1151,11408128.0
MATV,Mativ Holdings Inc,Basic Materials,Specialty Chemicals,USA,462190000.0,,8.46,0.3471,1510221.0
MEG,Montrose Environmental Group Inc,Industrials,Waste Management,USA,839330000.0,,24.53,0.0849,1334212.0
PRSU,Pursuit Attractions and Hospitality Inc,Consumer Cyclical,Travel Services,USA,989240000.0,3.03,35.01,0.16510000000000002,829815.0
SKYT,SkyWater Technology Inc,Technology,Semiconductors,USA,617280000.0,,12.85,0.4487,6116087.0
XERS,Xeris Biopharma Holdings Inc,Healthcare,Biotechnology,USA,1060000000.0,,6.6,0.2022,10166444.0
YHC,LQR House Inc,Consumer Defensive,Beverages - Wineries & Distilleries,USA,1140000.0,,1.07,-0.10830000000000001,118099018.0
