Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ARTL,Artelo Biosciences Inc,Healthcare,Biotechnology,USA,9790000.0,,14.32,0.4249,7162249.0
CURR,Currenc Group Inc,Financial,Shell Companies,Singapore,151410000.0,,1.99,0.9135,32907751.0
ENGS,Energys Group Ltd,Industrials,Waste Management,United Kingdom,34770000.0,,2.44,0.3785,4307470.0
INHD,Inno Holdings Inc,Basic Materials,Steel,USA,8570000.0,,1.35,0.1441,3703694.0
LGPS,LogProstyle Inc,Industrials,Conglomerates,Japan,40210000.0,9.36,1.7,1.0238,71649780.0
MBIO,Mustang Bio Inc,Healthcare,Biotechnology,USA,14620000.0,,3.34,1.8067,277934483.0
NAK,Northern Dynasty Minerals Ltd,Basic Materials,Other Industrial Metals & Mining,Canada,964330000.0,,1.79,0.2786,33519127.0
SONN,Sonnet BioTherapeutics Holdings Inc,Healthcare,Biotechnology,USA,14970000.0,,4.73,0.2066,30018570.0
UCAR,U Power Ltd,Consumer Cyclical,Auto & Truck Dealerships,China,19350000.0,,4.18,0.045,175673.0
WOLF,Wolfspeed Inc,Technology,Semiconductors,USA,359500000.0,,2.31,0.9576,456322189.0
