Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
FBLG,2.11,22.67%,21.97%,0.0058,1545221,6001096.0,6658193,0.09869,0.15533,0.0224,Healthcare,Biotechnology,United States,14048787
FGL,17.23,13.36%,26.88%,-0.1066,309441,,10524,,,0.094399996,Industrials,Engineering & Construction,Malaysia,197386
FLYE,2.2,61.76%,22.22%,0.3235,82354944,1464087.0,1632386,0.04717,0.059369996,0.0036000002,Consumer Cyclical,Auto Manufacturers,United States,3591249
LGCL,4.35,-0.85%,20.50%,-0.1772,795441,328774.0,42790404,,,0.0069999998,Technology,Software - Application,China,186138256
MOVE,12.81,16.99%,26.96%,-0.0785,810433,14330704.0,27647305,0.43840998,0.00918,0.0043,Technology,Software - Infrastructure,United States,354161984
NWGL,1.18,38.81%,38.79%,0.0001,5951229,9530154.0,17236557,0.0,0.031229999,0.1702,Basic Materials,Lumber & Wood Production,Macau,34046732
RDAC,6.45,41.45%,31.63%,0.0746,24395450,802225.0,5951030,0.49249,0.54148996,0.0005,Financial Services,Shell Companies,China,38384144
SM,4.76,77.43%,26.80%,0.3993,34414620,222481560.0,237854068,0.00927,0.99522,0.0718,Energy,Oil & Gas E&P,United States,9047968768
SWVL,3.83,31.62%,35.82%,-0.0308999999999999,1015153,4747512.0,9964344,0.28351998,0.010989999,0.0074,Industrials,Railroads,United Arab Emirates,38163436
WBUY,1.0,10.63%,24.46%,-0.1110999999999999,1098267,2472062.0,5202808,0.29365999,0.00632,0.024400001,Consumer Cyclical,Internet Retail,Singapore,5457535
