Ticker,Price,Change %,Change from Open %,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
BIVI,1.34,38.95%,3.08%,0.348,42468761.0,34.8,7501304,7542638,0.0029699998,0.19780001,0.1067,10107135
EHGO,1.21,-33.15%,-55.51%,0.5028,56182152.0,50.28,1442666,2861577,0.01521,3.0000001e-05,0.0716,3905368
FEMY,2.71,23.18%,-9.67%,0.3636,36720212.0,36.36,2483282,8033093,0.03853,0.34886003,0.0919,21769682
RDAC,8.78,50.09%,-34.42%,1.2886000000000002,16561068.0,128.86,802225,5951030,0.49249,0.57787997,0.0013,52250040
TNON,11.41,109.36%,-2.23%,1.1413,49493273.0,114.13,604972,667047,,,0.0139999995,7611006
YJ,4.25,144.25%,-27.60%,2.3736,129380863.0,237.36,1870622,2550640,0.019,84.62665,0.0105,20933544
