Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
VEEE,38.51,0.5490999999999999,99.64,-0.2241,25360641,,,,,,,,,
CNEY,0.75,0.5635,52.35,0.0263,58330078,,,,,,,,,
CRMT,4.28,0.4172,46.32,-0.0315,5360330,,,,,,,,,
BMGL,8.12,0.3225,34.88,-0.0195,321367,,,,,,,,,
LEDS,2.24,0.4736999999999999,31.76,0.1184,45772369,,,,,,,,,
MVO,0.83,0.0817,25.62,-0.1389,845820,,,,,,,,,
AEON,0.36,0.1084,23.1,-0.0997,46924791,,,,,,,,,
PDC,4.06,0.2648,23.03,0.0279999999999999,333614,,,,,,,,,
ZCMD,1.72,0.1391,21.13,-0.0596,429699,,,,,,,,,
PHOE,25.95,0.2536,20.7,0.0385999999999999,351046,,,,,,,,,
