Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
EHGO,4.06,1.2556,48.18,0.5222,116617731,1.26M,1.49M,38.04%,1.09%,1.16%,Industrials,Business Equipment & Supplies,China,8.24M
FGMC,14.89,0.4456,43.17,0.0097,691372,7.15M,10.30M,30.54%,66.25%,0.86%,Financial,Shell Companies,USA,153.37M
CAST,9.84,0.2193,37.82,-0.1152,7568788,16.52M,26.93M,59.56%,1.39%,0.68%,Communication Services,Broadcasting,USA,402.06M
WYHG,6.59,0.3475999999999999,34.76,0.0,429645,-,12.58M,-,0.71%,-,Consumer Defensive,Packaged Foods,China,82.90M
LNAI,4.15,0.0978999999999999,33.87,-0.1798999999999999,1159128,2.95M,4.47M,34.99%,2.72%,11.70%,Healthcare,Biotechnology,USA,18.80M
FTEK,1.99,0.2922,27.56,0.013,7648576,23.89M,31.16M,23.36%,24.26%,0.27%,Industrials,Pollution & Treatment Controls,USA,62.03M
JYD,0.83,0.2342,22.92,0.004,1450184,6.86M,8.30M,17.35%,0.36%,1.89%,Industrials,Integrated Freight & Logistics,China,6.92M
RTB,12.46,0.2155999999999999,20.39,0.0098,2274000,-,1.28M,0.00%,4.09%,-,Technology,Software - Application,USA,15.95M
RFIL,21.5,0.2072,20.18,0.0045,1000644,8.42M,10.85M,22.42%,41.52%,1.65%,Industrials,Electrical Equipment & Parts,USA,233.28M
