Ticker,Price,Change %,Change from Open %,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
FBGL,0.7,72.75%,18.37%,0.4594,23006252.0,45.94,6584355,13500000,0.51227003,0.014939999,0.0092,5448600
QNME,0.96,49.94%,-5.98%,0.5947,4906528.0,59.47,25776946,34427559,0.25127,0.01889,0.0379,22019866
TOPS,1.3,81.06%,-1.52%,0.8384,9409072.0,83.84,4242083,7613488,0.44282,0.03452,0.121400006,5466484
