Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
ACTU,1.58,28.46%,27.42%,0.0081,589187,8547135.0,24014202.0,0.15411,0.56018,0.043,Healthcare,Biotechnology,United States,37942440.0
AKAN,4.95,33.60%,35.25%,-0.0121,1605482,537663.0,540841.0,0.00587,0.0015199999,0.032,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,2677162.0
CRML,8.1,21.44%,20.36%,0.009,19007697,68160373.0,146888753.0,0.42856,0.20838,0.2937,Basic Materials,Other Industrial Metals & Mining,United States,1189798912.0
EXOD,9.69,23.44%,26.01%,-0.0204,392953,4677579.0,11015102.0,0.57267,0.13658,0.0552,Technology,Software - Infrastructure,United States,292669568.0
EXYN,3.22,40.00%,35.29%,0.0348,1740828,4538210.0,7953957.0,0.3426,0.081149995,0.0126,Technology,Software - Infrastructure,United States,25611742.0
LHSW,3.77,36.10%,24.01%,0.0975,695663,341835.0,3125000.0,0.65797997,0.00403,0.0476,Technology,Software - Infrastructure,China,12252500.0
NCPL,0.58,126.83%,118.54%,0.0379,498189304,4387760.0,7847899.0,0.4409,0.04316,0.0092,Financial Services,Capital Markets,United States,4551781.0
PMI,9.55,86.16%,62.69%,0.1442,41561231,1135266.0,2053919.0,0.41865003,0.06493,0.0591,Healthcare,Medical Devices,United States,19614926.0
RAIN,1.17,26.13%,23.26%,0.0233,2011991,,11646299.0,0.61489,0.07746,0.0029,Industrials,Pollution & Treatment Controls,United States,13693739.0
SNYR,0.1,-4.31%,20.92%,-0.2086,42607291,8170053.0,,0.47976002,0.04513,0.0138,Healthcare,Medical Distribution,United States,
ZSTK,6.47,27.87%,30.18%,-0.0178,392197,6810539.0,17489828.0,0.63585,0.00402,0.0023999999,Financial Services,Asset Management,Canada,113159184.0
