Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BETR,Better Home & Finance Holding Co,Financial,Mortgage Finance,USA,1040000000.0,,67.75,0.3555,8290074.0
DXF,Eason Technology Ltd. ADR,Financial,Credit Services,China,980000.0,,5.47,0.1349,673032.0
FLD,Fold Holdings inc,Financial,Capital Markets,USA,152530000.0,,3.26,-0.1598,19147428.0
FTEL,Fitell Corp,Consumer Cyclical,Specialty Retail,Australia,11110000.0,,8.46,0.0993,3385173.0
GLTO,Galecto Inc,Healthcare,Biotechnology,USA,5580000.0,,4.22,0.4067,54032591.0
HOLO,MicroCloud Hologram Inc,Technology,Electronic Components,China,27070000.0,0.44,5.28,-0.0504,26590504.0
IPDN,Professional Diversity Network Inc,Industrials,Staffing & Employment Services,USA,11900000.0,,4.76,0.6643000000000001,43515137.0
JXG,JX Luxventure Group Inc,Consumer Cyclical,Apparel Manufacturing,China,12110000.0,0.47,1.01,0.23199999999999998,32300990.0
JZXN,Jiuzi Holdings Inc,Consumer Cyclical,Auto & Truck Dealerships,China,89190000.0,,1.62,0.4464,26256387.0
SLE,Super League Enterprise Inc,Communication Services,Internet Content & Information,USA,9470000.0,,8.51,1.5944999999999998,67242889.0
SLNH,Soluna Holdings Inc,Financial,Capital Markets,USA,71450000.0,,2.37,0.1286,97121577.0
SSKN,STRATA Skin Sciences Inc,Healthcare,Medical Devices,USA,13650000.0,,2.59,0.5235,108833077.0
