Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
CXAI,0.26,0.6036,-15.18%,0.8906999999999999,525377013.0,89.07,60.07M,70.09M,14.30%,7.11%,10.87%,17.89M
FOXX,5.25,0.8356999999999999,2.74%,0.7867000000000001,73768273.0,78.67,0.99M,7.01M,85.96%,11.36%,0.74%,36.97M
HCAT,1.94,0.4586,8.38%,0.34590000000000004,27793405.0,34.59,61.28M,73.75M,17.07%,77.36%,11.76%,143.35M
MOBX,2.21,-0.009000000000000001,-26.09%,0.3408,45527408.0,34.08,11.05M,15.24M,27.49%,5.23%,36.79%,29.70M
ROLR,6.11,0.0911,-19.61%,0.35710000000000003,12828745.0,35.71,3.69M,10.94M,66.23%,2.86%,11.42%,67.02M
SBEV,0.33,0.3822,-14.23%,0.6115999999999999,338307822.0,61.16,10.76M,10.96M,1.90%,6.47%,2.00%,3.67M
SPRC,11.54,0.21989999999999998,-15.46%,0.4429,8792204.0,44.29,-,0.57M,0.00%,0.57%,-,6.62M
STI,22.71,3.5060000000000002,-7.98%,3.8968000000000003,102140512.0,389.68,2.47M,7.75M,68.07%,1.32%,2.39%,175.90M
TWAV,1.61,0.1338,-28.12%,0.5775,52866792.0,57.75,3.04M,3.33M,12.09%,7.32%,1.04%,5.56M
YYGH,0.16,0.10279999999999999,-18.14%,0.3472,338895578.0,34.72,1.91M,9.37M,78.30%,0.06%,3.35%,1.52M
