Ticker,Market Cap,Float Shares,Insider Ownership,Institutional Ownership,Date,Open,Prev Close,High,Low,Close,Volume,Gap %,VWAP,VWAP %
BROG,465748992.0,10122630.0,0.82416,0.07417,2025-05-28,4.554999828338623,3.190000057220459,4.78000020980835,3.609999895095825,4.25,18136500,43,4.315596608109608,-5
ITOS,385034432.0,22207987.0,0.01135,1.11044,2025-05-28,10.6850004196167,8.529999732971191,11.350000381469727,9.949999809265137,10.0600004196167,13601800,25,10.484320362672358,-2
KG,,,0.63868,0.32836,2025-05-28,29.0,1.149999976158142,36.79999923706055,26.600000381469727,33.0,56900,2422,31.09959059042301,7
LVWR,808157056.0,11499456.0,0.94594,0.00997,2025-05-28,3.700000047683716,2.559999942779541,4.670000076293945,3.049999952316284,3.9700000286102295,70359300,45,3.827532440087958,3
MNRO,501652448.0,27773205.0,0.01456,1.1590899,2025-05-28,16.700000762939453,12.770000457763672,17.950000762939453,16.139999389648438,16.75,3950000,31,16.944369083646027,1
SGBX,8790410.0,3956689.0,0.38,0.066149995,2025-05-28,1.2000000476837158,0.5529999732971191,1.4500000476837158,0.9359999895095825,1.2400000095367432,94859300,117,1.1569805199664682,-4
SGN,7933691.0,1780511.0,0.03557,0.06499,2025-05-28,3.1700000762939453,0.8299999833106995,4.269999980926514,2.009999990463257,2.190000057220459,163385200,282,2.837474506478733,-10
SPRO,131389904.0,37888964.0,0.24319,0.2325,2025-05-28,2.059999942779541,0.6819999814033508,2.4800000190734863,1.850000023841858,2.3499999046325684,182925800,202,2.1249253882815067,3
