Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
JZ,3.1,3.2582,220.21,0.3298,48563004,,,,,,,,,
HKIT,6.58,3.5068,105.95,1.1884,90453368,,,,,,,,,
DBGI,0.84,0.7336,78.49,-0.0287,67055308,,,,,,,,,
SUUN,1.53,0.7698,66.3,0.0642,23653206,,,,,,,,,
AIM,0.9,1.2035,61.94,0.3607,359965952,13.69M,14.56M,6.01%,1.17%,1.00%,Healthcare,Biotechnology,USA,13.09M
JYD,1.01,0.4501,48.53,-0.0237,1654580,,,,,,,,,
FOFO,2.97,0.4143,38.79,0.019,3808826,,,,,,,,,
ABTS,2.14,1.1579000000000002,35.44,0.5932,103410768,2.18M,19.55M,34.19%,5.97%,3.83%,Financial,Capital Markets,Hong Kong,6.34M
WALD,1.83,0.4878,32.61,0.122,10819377,,,,,,,,,
YOUL,0.69,0.3221,32.21,0.0,1156603,,,,,,,,,
FJET,9.5,0.2735,31.4,-0.0308,9276459,,,,,,,,,
TOPP,1.94,-0.2392,27.63,-0.4039,426741,,,,,,,,,
SUPX,12.21,0.288,27.06,0.0137,488187,,,,,,,,,
ANY,4.02,1.1158,27.01,0.6658,128250144,4.10M,4.24M,3.36%,3.11%,3.63%,Financial,Capital Markets,USA,17.06M
CHR,2.59,0.2512,25.12,0.0,447405,,,,,,,,,
BNBX,0.55,0.2767,22.82,0.0395,1334467,5.94M,7.20M,17.53%,11.98%,1.95%,Financial,Asset Management,USA,3.95M
AMZE,0.19,0.231,21.82,0.0105,26082190,56.17M,58.79M,4.45%,2.70%,5.36%,Technology,Software - Application,USA,11.03M
ALMU,26.21,0.2146,21.68,-0.0019,2285342,13.57M,18.11M,25.88%,26.89%,23.41%,Technology,Semiconductors,USA,479.78M
NTCL,1.24,0.2581,21.57,0.0349,4473756,,,,,,,,,
SDA,0.99,0.2071,20.71,0.0,1788117,,,,,,,,,
