Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BLRX,Bioline Rx Ltd ADR,Healthcare,Biotechnology,Israel,19530000.0,,5.25,0.3849,36518744.0
BMGL,Basel Medical Group Ltd,Healthcare,Medical Care Facilities,Singapore,114240000.0,64.27,6.08,4.8462,177051792.0
BSLK,Bolt Projects Holdings Inc,Basic Materials,Specialty Chemicals,USA,6970000.0,6.6,3.38,0.8674,29964968.0
GITS,Global Interactive Technologies Inc,Communication Services,Internet Content & Information,South Korea,7090000.0,,2.41,1.5368000000000002,55906856.0
ISPO,Inspirato Incorporated,Consumer Cyclical,Travel Services,USA,45280000.0,,3.64,0.07690000000000001,414302.0
PBM,Psyence Biomedical Ltd,Healthcare,Biotechnology,Canada,2860000.0,,4.91,-0.0594,980090.0
RRGB,Red Robin Gourmet Burgers Inc,Consumer Cyclical,Restaurants,USA,90450000.0,,5.1,0.6294,32495548.0
SBET,SharpLink Gaming Inc,Consumer Cyclical,Gambling,USA,53580000.0,,76.7,-0.0317,12221400.0
VIVK,Vivakor Inc,Energy,Oil & Gas Integrated,USA,53920000.0,,1.14,0.34149999999999997,28247604.0
VVPR,VivoPower International PLC,Technology,Solar,United Kingdom,20600000.0,,4.64,0.0943,8435234.0
