Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CHEK,Check-Cap Ltd,Healthcare,Diagnostics & Research,Israel,12400000.0,,2.12,1.8422,126145753.0
DEVS,DevvStream Corp,Industrials,Pollution & Treatment Controls,USA,9450000.0,,2.67,0.0191,3907629.0
EVTV,Envirotech Vehicles Inc,Consumer Cyclical,Auto Manufacturers,USA,9670000.0,,2.74,-0.3284,14713753.0
FRGT,Freight Technologies Inc,Technology,Software - Application,USA,4099999.9999999995,,1.49,0.0567,32879675.0
GLUE,Monte Rosa Therapeutics Inc,Healthcare,Biotechnology,USA,428000000.0,20.2,6.93,0.4407,31553435.0
HSDT,Helius Medical Technologies Inc,Healthcare,Medical Devices,USA,19730000.0,,18.27,1.4166999999999998,19961984.0
IHT,Innsuites Hospitality Trust,Real Estate,REIT - Hotel & Motel,USA,29080000.0,,3.32,0.66,28797907.0
LRE,Lead Real Estate Co Ltd ADR,Real Estate,Real Estate - Development,Japan,29330000.0,,2.15,0.3778,42022123.0
MFI,mF International Ltd,Technology,Software - Application,Hong Kong,73700000.0,,44.4,0.0089,255630.0
NAOV,NanoVibronix Inc,Healthcare,Medical Devices,USA,8560000.0,,10.7,0.6487,55062458.0
RCEL,AVITA Medical Inc,Healthcare,Medical Devices,USA,167920000.0,,6.76,0.4825,19546981.0
