Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AUUD,1.14,0.36560000000000004,-17.99%,0.6651,105048003.0,66.51,3.10M,3.10M,0.08%,3.26%,4.21%,3.54M
RXT,1.37,2.2697,38.38%,1.3628,536127799.0,136.28,96.32M,243.60M,60.46%,15.26%,9.48%,333.74M
SABR,1.17,0.2468,-4.88%,0.3107,33640488.0,31.07,366.45M,394.88M,7.20%,88.77%,12.38%,462.02M
SNSE,26.25,1.8751,-5.51%,2.0427,12482139.0,204.27,0.86M,1.26M,31.99%,3.98%,3.03%,33.12M
