Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
CMND,3.58,0.4612,2.29%,0.4286,44682742.0,42.86,1.01M,1.02M,0.66%,0.44%,2.03%,3.65M
DEVS,0.3,1.4,14.07%,1.104,575013043.0,110.4,5.90M,13.25M,55.50%,1.95%,2.69%,3.98M
HUBC,0.26,1.3736000000000002,-29.43%,2.3636,1331647657.0,236.36,-,0.20M,0.00%,1.30%,-,0.33M
IOTR,3.91,0.39640000000000003,-14.07%,0.625,21767574.0,62.5,0.64M,0.73M,74.89%,0.46%,1.54%,10.03M
NEXR,1.36,0.1724,-15.53%,0.38789999999999997,65273995.0,38.79,0.65M,0.65M,0.44%,0.05%,4.95%,2.40M
OLOX,8.77,0.7825,-14.36%,1.0813,27284982.0,108.13,0.74M,0.96M,22.60%,4.74%,14.69%,8.43M
PRFX,3.0,1.1898,-36.97%,2.4745,56279623.0,247.45,0.79M,0.84M,6.24%,9.75%,9.33%,2.54M
QH,7.73,0.546,-0.90%,0.56,3180600.0,56.0,-,0.14M,-,11.35%,-,1.08M
REPL,8.69,0.8568000000000001,9.58%,0.6944,51033052.0,69.44,76.23M,79.63M,7.68%,102.43%,31.03%,717.56M
STG,6.14,1.2573999999999999,26.34%,0.7868,24842364.0,78.68,4.79M,5.08M,5.62%,0.29%,0.02%,31.19M
