Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
YOUL,1.03,2.0591,165.6,0.1518,39395978,,,,,,,,,
LESL,8.18,0.5945,56.7,0.0175,1923741,,,,,,,,,
PMI,0.32,0.2107,48.88,-0.1868,38791643,,,,,,,,,
MPU,0.35,0.5186999999999999,42.57,0.0652,166906472,,,,,,,,,
UFG,1.0,0.3392,38.89,-0.0358,941310,,,,,,,,,
BVC,11.79,0.2683999999999999,38.71,-0.0855,539651,2.62M,56.00M,68.78%,0.01%,0.26%,Technology,Software - Application,China,99.04M
ITP,0.26,0.3946,37.47,0.0144,9866866,,,,,,,,,
BESS,4.5,0.3274,36.36,-0.0265,2244688,4.39M,7.07M,38.17%,11.04%,1.83%,Utilities,Utilities - Renewable,USA,31.94M
TOPP,1.35,0.3636,32.35,0.0302999999999999,2818193,,,,,,,,,
DLXY,0.5,0.0659,31.03,-0.1865,1174800,2.19M,7.17M,86.58%,0.71%,1.99%,Energy,Oil & Gas Refining & Marketing,Singapore,8.14M
VCIG,6.04,0.3482,30.74,0.0312,1021585,,,,,,,,,
EPSM,2.05,0.7227,29.75,0.3277,65426664,2.65M,13.44M,0.54%,0.73%,0.13%,Consumer Defensive,Beverages - Wineries & Distilleries,China,5.46M
CHOW,0.35,0.0751,28.17,-0.1612,11333241,10.76M,35.49M,69.68%,0.29%,0.68%,Technology,Software - Infrastructure,Hong Kong,12.40M
RYET,1.14,0.1704,28.09,-0.0862,1615015,,,,,,,,,
HIHO,0.83,0.1458,27.56,-0.1018,9728145,,,,,,,,,
GLXG,1.03,-0.0803999999999999,24.1,-0.2589,681433,,,,,,,,,
HTCO,4.47,0.3383,23.82,0.0808,2153698,,,,,,,,,
MWG,1.41,0.175,23.68,-0.05,337822,,,,,,,,,
SBEV,0.32,-0.0009,21.73,-0.1793,6287754,,,,,,,,,
ENHA,3.92,0.1394999999999999,20.99,-0.0581,3013753,69.25M,122.23M,43.35%,18.11%,1.69%,Consumer Defensive,Packaged Foods,Hong Kong,479.14M
GRAN,1.56,0.0947,20.0,-0.0877,436180,,,,,,,,,
