Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
PPAVS,5.91,0.5232,51.54,0.0052,19087720,,,,,,,,,
YYOUL,0.78,0.2985,37.28,-0.0541,7349731,,,,,,,,,
VVIVK,2.12,0.3006,36.77,-0.0491,23666613,,,,,,,,,
LLICN,1.19,0.3182999999999999,30.78,0.008,4350249,,,,,,,,,
WWLDS,2.23,0.5068,29.65,0.1621999999999999,29969407,,,,,,,,,
RRBNE,5.68,0.2735,27.07,0.0022,665127,,,,,,,,,
SSLGB,0.82,0.0931,25.06,-0.126,840467,,,,,,,,,
NNVEC,134.21,0.5483,25.01,0.2386,815326,,,,,,,,,
AAIRE,1.56,0.2282999999999999,24.8,-0.0157,401521,,,,,,,,,
GGSUN,0.35,0.2614,23.57,0.0208,23707276,,,,,,,,,
TTHRM,45.61,0.2652,22.61,0.0319,1737141,,,,,,,,,
HHIHO,1.32,0.1478,22.22,-0.0608999999999999,1299063,,,,,,,,,
SSOBR,0.68,0.1796,21.64,-0.0302999999999999,1025305,,,,,,,,,
SSMTK,0.23,0.2092999999999999,21.44,-0.0043,2228838,,,,,,,,,
SSKYQ,5.64,0.3656,21.29,0.1259,34569141,,,,,,,,,
CCNEY,0.71,0.1,20.47,-0.087,477077,,,,,,,,,
ZZBAO,0.25,-0.0374,20.1,-0.1985,26644052,,,,,,,,,
