Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,Gain_%,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float
WGRX,Wellgistics Health Inc,Healthcare,Pharmaceutical Retailers,USA,21870000.0,,0.17,642518144,1.0837999999999999,62.74M,101.31M,50.07%,1.72%,4.27%
HCAI,Huachen AI Parking Management Technology Holding Co Ltd,Industrials,Farm & Heavy Construction Machinery,China,12790000.0,9166.67,11.0,13456471,0.9856,0.63M,0.63M,45.88%,0.32%,0.38%
GOVX,Geovax Labs Inc,Healthcare,Biotechnology,USA,7680000.0,,2.21,208896240,0.7967,2.77M,2.82M,0.12%,11.82%,9.18%
SBFM,Sunshine Biopharma Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,2550000.0,,0.51,437854336,0.7951,4.90M,4.91M,2.08%,5.28%,2.13%
AIM,AIM ImmunoTech Inc,Healthcare,Biotechnology,USA,3320000.0,,0.41,471583424,0.6126,7.66M,8.22M,6.01%,2.10%,3.96%
VRAX,Virax Biolabs Group Ltd,Healthcare,Biotechnology,United Kingdom,4680000.0,,0.23,765169216,0.5309,19.57M,19.92M,1.79%,4.62%,0.73%
