Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AREB,2.15,0.72,28.74%,0.336,65317241.0,33.6,0.50M,0.65M,23.07%,1.91%,14.01%,1.41M
BENF,1.49,2.0595,76.21%,0.7363,336437826.0,73.63,7.97M,9.42M,17.86%,13.45%,13.53%,14.47M
BNBX,4.8,0.4035,-4.19%,0.46490000000000004,54833599.0,46.49,1.29M,1.29M,0.39%,7.14%,66.51%,6.20M
BYND,3.58,-0.011000000000000001,-41.41%,0.6878,2144164662.0,68.78,62.90M,76.60M,18.05%,72.45%,62.94%,274.77M
DNUT,4.03,0.0863,-13.70%,0.2588,151548102.0,25.88,85.62M,170.96M,49.99%,54.17%,30.20%,689.93M
FLWS,4.39,-0.1476,-35.63%,0.3243,35640736.0,32.43,31.19M,36.55M,50.97%,54.35%,36.00%,279.29M
RANI,2.41,-0.15259999999999999,-32.16%,0.2491,62720560.0,24.91,35.99M,39.24M,24.86%,12.06%,0.41%,173.57M
SBEV,2.45,0.2963,1.24%,0.2804,38567062.0,28.04,2.13M,2.37M,10.48%,2.92%,2.29%,5.82M
WOK,4.9,0.25,0.00%,0.25,1953740.0,25.0,0.68M,0.87M,21.64%,-,2.68%,4.06M
