Ticker,Price,Change %,Change from Open %,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
NCT,0.45,48.82%,-1.57%,0.5118,18276438.0,51.18,553278,,0.09518,0.0010899999,0.0070999996,
SCNI,3.11,87.27%,38.36%,0.35350000000000004,8111945.0,35.35,488725,677581.0,0.14159,0.04295,0.0126,1124784.0
