Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding
COOT,-0.2,0.36,2.4795,3.1672000000000002,1.9485,0.5621,4.8667,90.02,2.64,1.7358000000000002,-32.31%,3.0414999999999996,183601644.0,304.15,4.75M,27.90M
CSAI,,0.17,-0.0179,-0.0836,-0.6703,-0.9732999999999999,0.2069,47.66,1.4,0.07690000000000001,-21.35%,0.36920000000000003,9143230.0,36.92,17.39M,17.44M
DFLI,-0.58,0.3,1.1001,2.6031999999999997,1.0161,-0.6589,12.133299999999998,72.53,1.97,0.2876,-10.05%,0.4314,154675567.0,43.14,79.62M,84.81M
IBG,4.23,0.7,0.2932,0.40149999999999997,0.1923,-0.5909,1.723,61.02,4.03,0.2516,-12.58%,0.43170000000000003,23423259.0,43.17,1.39M,8.16M
NUAI,0.82,0.52,0.8859,2.448,1.4317,-0.7273999999999999,9.4426,72.38,3.35,0.09119999999999999,-9.21%,0.20199999999999999,34517246.0,20.2,11.83M,25.48M
OMER,2.34,0.79,1.2608,1.3886,0.7698999999999999,-0.23379999999999998,2.5322,88.99,10.42,1.5415,-9.63%,1.8122,124317830.0,181.22,65.02M,68.06M
PFAI,,0.35,1.1919,1.4342,1.0321,0.038599999999999995,2.5154,87.0,4.57,1.3927,32.08%,0.8115000000000001,62872771.0,81.15,3.53M,11.70M
RKDA,0.55,0.54,0.4714,0.42579999999999996,0.3195,-0.4714,1.1540000000000001,70.59,5.45,0.47700000000000004,4.61%,0.4119,21062348.0,41.19,1.36M,1.37M
SDOT,0.69,1.08,0.27149999999999996,-0.0137,-0.5771000000000001,-0.8645999999999999,0.544,58.73,7.72,0.4875,-29.82%,1.1195,20192497.0,111.95,1.03M,1.03M
SEED,1.68,0.21,0.48719999999999997,0.6613,0.34409999999999996,-0.3718,1.662,75.97,1.96,0.36590000000000006,-16.60%,0.6376,41795095.0,63.76,5.93M,7.20M
SLNH,4.42,0.58,0.7626999999999999,2.2841,2.8372,-0.1025,10.9034,72.92,4.29,0.5376,23.28%,0.2473,46296148.0,24.73,48.99M,64.10M
TBH,,0.32,-0.3236,-0.2415,-0.25739999999999996,-0.8391,1.1538,40.01,1.12,0.10890000000000001,-8.94%,0.21780000000000002,27386858.0,21.78,6.13M,10.82M
TE,1.31,0.41,0.9072,1.5385,2.1507,0.2506,4.6956999999999995,85.97,5.24,0.30670000000000003,6.29%,0.22940000000000002,29132847.0,22.94,122.49M,155.94M
TRUE,2.01,0.21,0.26780000000000004,0.2029,0.1435,-0.4805,1.2825,64.2,2.4,0.6215999999999999,-4.00%,0.6892,7401519.0,68.92,67.99M,88.42M
VERI,3.26,0.81,0.5598,1.1462,2.0911,0.30579999999999996,5.877000000000001,78.43,8.39,0.5366,6.20%,0.44689999999999996,46487861.0,44.69,55.20M,68.68M
