Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AHMA,1.6,0.4545,-8.57%,0.5909,84844836.0,59.09,1.92M,10.96M,93.49%,0.55%,59.46%,47.20M
AVTX,21.81,0.34130000000000005,-4.68%,0.4071,22435778.0,40.71,24.03M,26.71M,10.04%,76.67%,21.80%,582.64M
ERNA,6.04,0.5138,3.07%,0.46869999999999995,63374387.0,46.87,19.92M,29.15M,31.68%,0.07%,0.04%,7.04M
EVC,7.69,0.9322,18.13%,0.6357,40125683.0,63.57,61.48M,82.60M,33.21%,51.10%,0.89%,707.78M
EZGO,0.16,-0.9158,-93.94%,0.3895,239387557.0,38.95,20.72M,20.88M,0.78%,0.05%,0.19%,3.34M
GCTK,0.85,0.16920000000000002,-10.75%,0.31,100363355.0,31.0,1.82M,1.94M,6.18%,8.93%,36.84%,1.66M
PMAX,4.14,0.9528,45.26%,0.3443,48657031.0,34.43,0.47M,1.04M,54.82%,0.36%,5.51%,4.29M
REA,19.0,0.0,-24.00%,0.31579999999999997,3362159.0,31.58,-,19.39M,-,-,-,368.41M
