Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AIRO,AIRO Group Holdings Inc,Industrials,Aerospace & Defense,USA,772000000.0,,31.0,0.2917,11880751.0
BATL,Battalion Oil Corp,Energy,Oil & Gas E&P,USA,45090000.0,,2.74,0.6707,45330532.0
CBIO,GlycoMimetics Inc,Healthcare,Biotechnology,USA,10190000.0,,15.8,0.0060999999999999995,21763.0
DWSN,Dawson Geophysical Company,Energy,Oil & Gas Equipment & Services,USA,89850000.0,,2.9,1.1168,53406688.0
KWM,K Wave Media Ltd,Communication Services,Entertainment,Cayman Islands,260570000.0,,4.12,0.4207,7041915.0
LSE,Leishen Energy Holding Co Ltd,Energy,Oil & Gas Equipment & Services,China,113520000.0,13.9,6.67,0.3078,7966558.0
MARPS,Marine Petroleum Trust,Energy,Oil & Gas Midstream,USA,11800000.0,16.22,6.0,0.32299999999999995,2626775.0
NCI,Neo Concept International Group Holdings Ltd,Consumer Cyclical,Apparel Manufacturing,Hong Kong,7680000.0,7.43,1.89,0.10980000000000001,221374.0
OP,OceanPal Inc,Industrials,Marine Shipping,Greece,17410000.0,,2.32,0.441,59914440.0
SAGE,Sage Therapeutics Inc,Healthcare,Biotechnology,USA,567970000.0,,9.07,0.35369999999999996,27629684.0
SONM,Sonim Technologies Inc,Technology,Communication Equipment,USA,15460000.0,,1.68,0.8068000000000001,113348720.0
SRM,SRM Entertainment Inc,Consumer Cyclical,Leisure,USA,158440000.0,,9.19,5.337899999999999,251394128.0
STAK,Stak Inc,Energy,Oil & Gas Equipment & Services,China,26090000.0,8.16,2.31,0.18460000000000001,24592488.0
SVRE,SaverOne 2014 Ltd ADR,Technology,Scientific & Technical Instruments,Israel,1160000.0,,2.69,-0.0495,8144055.0
TMDE,TMD Energy Ltd,Energy,Oil & Gas Midstream,Malaysia,47370000.0,21.38,2.01,0.5344,65530688.0
