Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,Gain_%,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float
INM,InMed Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,5300000.0,,1.6,92233205,1.3505,3.31M,3.31M,0.17%,12.06%,1.07%
AMST,Amesite Inc,Technology,Software - Application,USA,9400000.0,,1.73,148500039,1.2006999999999999,3.39M,4.74M,37.70%,5.99%,9.67%
CNEY,CN Energy Group Inc,Basic Materials,Specialty Chemicals,China,9050000.0,0.25,1.61,29823255,1.1977,4.99M,5.62M,11.30%,2.94%,7.02%
NXXT,NextNRG Inc,Utilities,Utilities - Renewable,USA,128970000.0,,0.82,384854485,1.0002,65.49M,156.59M,58.19%,6.64%,9.84%
WNW,Meiwu Technology Company Ltd,Consumer Cyclical,Internet Retail,China,6320000.0,,4.75,51037172,0.971,1.20M,1.33M,10.15%,0.56%,0.79%
GIPR,Generation Income Properties Inc,Real Estate,REIT - Diversified,USA,2810000.0,,0.43,459957043,0.7589,4.62M,7.88M,15.18%,12.07%,6.69%
MTVA,MetaVia Inc,Healthcare,Biotechnology,USA,9710000.0,,1.88,83505735,0.6937000000000001,3.34M,5.16M,35.28%,1.30%,2.42%
