Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ATPC,0.18,1.6456,49.67%,0.7676000000000001,759771798.0,76.76,4.74M,50.01M,90.53%,0.19%,0.02%,8.99M
AXIL,8.0,0.5936,-5.88%,0.6931999999999999,28447453.0,69.32,3.48M,6.66M,48.54%,13.21%,0.13%,54.06M
BTTC,4.12,0.24280000000000002,-53.91%,1.6968,51310729.0,169.68,1.12M,1.40M,85.48%,0.29%,1.27%,31.82M
PETS,2.98,0.6836,19.20%,0.41240000000000004,130873181.0,41.24,14.85M,20.66M,29.34%,33.83%,10.80%,62.63M
