Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
AIXC,1.32,85.86%,53.76%,0.2087999999999999,65001774,18558726,20234993.0,0.66524005,0.029560002,0.0253,Technology,Software - Infrastructure,United States,26710190.0
CAST,2.1,144.24%,144.24%,0.0,154052780,21373718,33655422.0,0.26909,0.12452,,Communication Services,Broadcasting,United States,99920232.0
GNLN,3.05,51.74%,56.41%,-0.0299,747608,627083,631459.0,0.00396,0.04976,0.0272,Consumer Defensive,Tobacco,United States,1925949.0
IPST,15.76,113.26%,111.26%,0.0095,32318480,662746,721578.0,0.031630002,0.09382,0.0138,Financial Services,Capital Markets,United States,11372069.0
JFU,2.94,26.72%,20.99%,0.0474,1010697,4622564,8715213.0,0.4696,0.0017499999,0.00059999997,Technology,Information Technology Services,China,34613604.0
MODD,3.03,27.85%,37.73%,-0.0717,755765,4631121,5413160.0,0.025510002,0.40427,0.0357,Healthcare,Medical Devices,United States,16401875.0
PBM,4.47,23.82%,24.17%,-0.0028,898249,2607742,,0.0297,0.09717,0.0139999995,Healthcare,Biotechnology,Canada,
PFSA,27.48,506.62%,211.56%,0.947,53541930,45465,253455.0,0.0026,0.03142,0.0591,Healthcare,Medical Devices,United States,6964943.0
PSIG,1.59,47.22%,50.00%,-0.0185,5088583,7788387,15380822.0,0.59683996,0.01853,0.0105,Industrials,Integrated Freight & Logistics,Hong Kong,24455508.0
RCEL,9.85,24.68%,24.06%,0.0051,1426741,30472532,30926847.0,0.01511,0.16022,0.0851,Healthcare,Medical Devices,United States,304629472.0
SCTX,27.11,27.94%,24.24%,0.0297,507363,892583,16182010.0,0.11529,0.53144,,Healthcare,Biotechnology,United States,438694304.0
SUGP,2.4,20.00%,23.71%,-0.03,1207257,435803,712618.0,0.0073100002,0.011770001,0.0098,Industrials,Security & Protection Services,Hong Kong,6038347.0
