Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
FFMFC,0.52,1.4141,132.52,0.0382,193300560,,,,,,,,,
TTCX,15.44,0.5918,39.1,0.1442999999999999,672647,,,,,,,,,
FFATN,6.08,0.1875,34.51,-0.1172,360361,,,,,,,,,
SSCYX,4.84,0.2976,34.44,-0.0348,3184532,,,,,,,,,
TTGHL,1.13,0.5357,34.08,0.1454,15754647,,,,,,,,,
CCIGL,0.61,0.3314,30.09,0.0235,75582492,,,,,,,,,
RRYDE,0.75,0.3697,28.45,0.0664,2242275,,,,,,,,,
SSHPH,3.8,0.2298,25.41,-0.0194,3072745,,,,,,,,,
AAEMD,0.66,0.171,24.35,-0.0583,1278455,,,,,,,,,
JJDZG,6.01,-0.8798,20.2,-0.9,1202612,,,,,,,,,
