Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
CLRO,6.48,1.0124,80.0,0.118,85774244,,,,,,,,,
YRD,1.44,0.5968,35.85,0.1754,56032982,,,,,,,,,
HLP,0.75,0.3440999999999999,34.29,0.0009,48627904,,,,,,,,,
CMMB,2.27,0.3353,31.21,0.0176,1363479,,,,,,,,,
BNRG,1.03,0.2721,24.1,0.0250999999999999,5168961,,,,,,,,,
UPC,6.32,0.1367,23.92,-0.0827,4123239,,,,,,,,,
YOOV,0.7,0.0736,22.61,-0.1244,961470,,,,,,,,,
GETY,0.9,0.1739,20.52,-0.026,9832649,,,,,,,,,
