Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
AEYE,7.99,37.52%,29.08%,0.0654,965070,8064865,12569674.0,0.33195,0.33280998,0.0301,Technology,Software - Application,United States,100431696.0
BANL,10.93,55.92%,53.51%,0.0157,516045,406582,1097935.0,0.63102,0.02242,0.0367,Energy,Oil & Gas Midstream,Malaysia,23077558.0
BRNX,3.55,2.60%,48.54%,-0.3092,628179,23788,,0.00602,0.01652,,,,Israel,
CAMP,5.44,20.89%,20.89%,0.0,426629,27389821,62753200.0,0.108710006,0.79051,0.0422,Healthcare,Biotechnology,United States,341377408.0
CDTG,2.09,30.62%,34.84%,-0.0313,1250533,2766994,3021027.0,0.06057,0.00123,0.0053,Industrials,Waste Management,China,6313946.0
EMAT,3.03,34.07%,24.18%,0.0796,3556155,135242232,621790646.0,0.87381,0.00717,0.0045,Basic Materials,Other Industrial Metals & Mining,United States,1884025728.0
IPWR,5.23,22.77%,22.20%,0.0046999999999999,715583,9800938,16434655.0,0.10029,0.37177,0.041100003,Technology,Semiconductors,United States,85953248.0
MDXH,0.81,74.89%,33.00%,0.3148999999999999,326589347,41027087,51364520.0,0.11128,0.37745,0.0274,Healthcare,Diagnostics & Research,Belgium,41502532.0
NPWR,1.95,20.37%,25.00%,-0.037,4036059,45170309,88480681.0,0.48051998,0.43140998,0.0495,Industrials,Specialty Industrial Machinery,United States,172537328.0
NTHI,4.22,31.46%,31.06%,0.0031,646954,9037008,25936365.0,0.58673,0.13182999,0.056999996,Healthcare,Biotechnology,United States,109451448.0
SPAI,6.17,37.72%,43.49%,-0.0401999999999999,7365272,12748615,20618817.0,0.43451,0.14374,0.0276,Industrials,Aerospace & Defense,United States,127218096.0
SST,2.35,38.24%,35.84%,0.0176,3435624,5703647,8708922.0,0.68494004,0.07259,0.0556,Industrials,Specialty Business Services,United States,24648324.0
VUZI,3.1,17.42%,29.17%,-0.0909,2846227,63879679,84414230.0,0.15869,0.40581,0.2229,Technology,Consumer Electronics,United States,261684112.0
VWAV,1.78,44.72%,37.98%,0.0487999999999999,25301928,18571376,29582069.0,0.63525003,0.066939995,0.052600004,Industrials,Aerospace & Defense,United States,52656080.0
