Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ARTL,Artelo Biosciences Inc,Healthcare,Biotechnology,USA,7250000.0,,13.27,0.9543,26905217.0
BMNR,BitMine Immersion Technologies Inc,Financial,Capital Markets,USA,208830000.0,,33.9,6.9484,106579643.0
CIGL,Concorde International Group Ltd,Industrials,Security & Protection Services,Singapore,325710000.0,,14.71,0.5291,320761.0
GNS,Genius Group Ltd,Consumer Defensive,Education & Training Services,Singapore,97960000.0,,1.36,0.3807,33485574.0
IPDN,Professional Diversity Network Inc,Industrials,Staffing & Employment Services,USA,7040000.0,,3.38,0.9314,54960134.0
KLTO,Klotho Neurosciences Inc,Healthcare,Biotechnology,USA,36720000.0,,1.13,0.5692,135631916.0
LIDR,AEye Inc,Technology,Software - Infrastructure,USA,19810000.0,,1.03,0.1503,19846085.0
MNTS,Momentus Inc,Industrials,Aerospace & Defense,USA,7650000.0,,1.22,-0.1348,48824964.0
NFE,New Fortress Energy Inc,Energy,Oil & Gas Midstream,USA,910280000.0,,3.32,0.32799999999999996,39212122.0
VERO,Venus Concept Inc,Healthcare,Medical Devices,Canada,4410000.0,,2.37,0.0872,8763374.0
VSEE,VSee Health Inc,Healthcare,Health Information Services,USA,18170000.0,,1.16,0.0545,225883.0
WBUY,Webuy Global Ltd,Consumer Cyclical,Internet Retail,Singapore,9460000.0,,7.73,0.373,44342687.0
